_ID,TimeSt,Country,Province,City,Latitude,Longitude,ClosestDistance,ClosestPOI
4519710,2017-06-21 01:00:04.413,CA,ON,Kitchener,43.2994,-80.4496,599.9171349096064,POI3
4519736,2017-06-21 01:00:01.890,CA,ON,Kitchener,43.4381,-80.5099,597.5475208767815,POI3
4519766,2017-06-21 10:00:02.067,CA,ON,Windsor,42.2545,-82.9809,836.9139801576072,POI3
4519856,2017-06-21 02:00:02.080,CA,ON,Kitchener,43.4453,-80.4905,595.7889287973846,POI3
4519930,2017-06-21 19:00:02.340,CA,ON,London,43.0004,-81.2343,671.7507881301945,POI3
4520019,2017-06-21 18:00:02.380,CA,ON,Guelph,43.5776,-80.2201,569.8086800966553,POI3
4520130,2017-06-21 15:00:02.473,CA,ON,London,43.0091,-81.1765,667.1300968366165,POI3
4520149,2017-06-21 02:00:02.493,CA,ON,Guelph,43.5776,-80.2201,569.8086800966553,POI3
4520192,2017-06-21 18:00:02.717,CA,ON,Guelph,43.5776,-80.2201,569.8086800966553,POI3
4520296,2017-06-21 06:00:03.423,CA,ON,London,43.0091,-81.1765,667.1300968366165,POI3
4520349,2017-06-21 09:00:03.800,CA,ON,Kitchener,43.4553,-80.4845,594.8775681344704,POI3
4520395,2017-06-21 02:00:04.040,CA,ON,Kitchener,43.4397,-80.434,591.9299420349729,POI3
4520446,2017-06-21 12:00:04.447,CA,ON,London,43.0061,-81.2962,675.9390643957918,POI3
4520587,2017-06-21 01:00:04.767,CA,ON,Chatham,42.3778,-82.1897,773.4731862786313,POI3
4520685,2017-06-21 13:00:04.860,CA,ON,Kitchener,43.4193,-80.3826,589.1640111795118,POI3
4520740,2017-06-21 07:00:04.867,CA,ON,Kitchener,43.4193,-80.3826,589.1640111795118,POI3
4520751,2017-06-21 20:00:05.027,CA,ON,London,42.993,-81.169,667.4142790313709,POI3
4520821,2017-06-21 07:00:05.127,CA,ON,Sarnia,42.96866,-82.40455,758.8071303433677,POI3
4520907,2017-06-21 12:00:05.683,CA,ON,London,43.0091,-81.1765,667.1300968366165,POI3
4520995,2017-06-21 05:00:05.687,CA,ON,London,43.0091,-81.1765,667.1300968366165,POI3
4521119,2017-06-21 18:00:06.113,CA,ON,Kitchener,43.4381,-80.5099,597.5475208767815,POI3
4521184,2017-06-21 02:00:06.133,CA,ON,London,42.9923,-81.2531,673.5230698403195,POI3
4521259,2017-06-21 14:00:06.600,CA,ON,London,43.0061,-81.2962,675.9390643957918,POI3
4521353,2017-06-21 13:00:06.717,CA,ON,Windsor,42.3159,-83.0311,837.2616052532032,POI3
4521387,2017-06-21 22:00:02.203,CA,ON,Kitchener,43.4453,-80.4905,595.7889287973846,POI3
4521468,2017-06-21 11:00:02.300,CA,ON,Kitchener,43.4453,-80.4905,595.7889287973846,POI3
4521539,2017-06-21 06:00:02.503,CA,ON,Kitchener,43.4553,-80.4845,594.8775681344704,POI3
4521574,2017-06-21 00:00:02.637,CA,ON,Brantford,43.1508,-80.2094,590.3856704767678,POI3
4521618,2017-06-21 15:00:02.670,CA,ON,Cambridge,43.3653,-80.3066,586.2906738788893,POI3
4521682,2017-06-21 20:00:02.683,CA,ON,London,42.9611,-81.2431,674.4017128829894,POI3
4521726,2017-06-21 01:00:02.760,CA,ON,Cambridge,43.3653,-80.3066,586.2906738788893,POI3
4521780,2017-06-21 21:00:02.823,CA,ON,Cambridge,43.3653,-80.3066,586.2906738788893,POI3
4521790,2017-06-21 03:00:02.837,CA,ON,Kitchener,43.4397,-80.434,591.9299420349729,POI3
4521875,2017-06-21 17:00:02.860,CA,ON,Kitchener,43.4397,-80.434,591.9299420349729,POI3
4521970,2017-06-21 05:00:02.877,CA,ON,Kitchener,43.4397,-80.434,591.9299420349729,POI3
4521978,2017-06-21 13:00:03.117,CA,ON,London,42.9529,-81.3239,680.6553053591308,POI3
4522040,2017-06-21 20:00:03.837,CA,ON,Kitchener,43.4397,-80.434,591.9299420349729,POI3
4522160,2017-06-21 16:00:03.970,CA,ON,Cambridge,43.3653,-80.3066,586.2906738788893,POI3
4522231,2017-06-21 00:00:04.383,CA,ON,Chatham,42.4247,-82.1755,769.878608435098,POI3
4522296,2017-06-21 09:00:05.040,CA,ON,Goderich,43.7479,-81.702,673.1425984711374,POI3
4522376,2017-06-21 00:00:05.113,CA,ON,Waterloo,43.4634,-80.5201,597.1005652446332,POI3
4522431,2017-06-21 20:00:05.250,CA,ON,London,43.0004,-81.2343,671.7507881301945,POI3
4522487,2017-06-21 10:00:05.290,CA,ON,Waterloo,43.4737,-80.5309,597.4093891673598,POI3
4522500,2017-06-21 17:00:05.387,CA,ON,Brantford,43.1772,-80.248,591.7274634671915,POI3
4522528,2017-06-21 13:00:05.593,CA,ON,Woodstock,43.1327,-80.7449,629.6692568048771,POI3
4522564,2017-06-21 03:00:05.600,CA,ON,Woodstock,43.1327,-80.7449,629.6692568048771,POI3
4522656,2017-06-21 07:00:05.923,CA,ON,Waterloo,43.498999999999995,-80.5063,594.4290692679289,POI3
4522680,2017-06-21 02:00:06.707,CA,ON,Chatham,42.4247,-82.1755,769.878608435098,POI3
4522747,2017-06-21 08:00:06.907,CA,ON,Waterloo,43.4634,-80.5201,597.1005652446332,POI3
4522806,2017-06-21 21:00:06.957,CA,ON,Waterloo,43.4634,-80.5201,597.1005652446332,POI3
4522855,2017-06-21 12:00:02.177,CA,ON,Kitchener,43.4134,-80.49600000000001,597.7092423545165,POI3
4522895,2017-06-21 22:00:02.310,CA,ON,Kitchener,43.4397,-80.434,591.9299420349729,POI3
4522945,2017-06-21 01:00:02.337,CA,ON,Kitchener,43.4397,-80.434,591.9299420349729,POI3
4522946,2017-06-21 19:00:02.590,CA,ON,Chatham,42.4247,-82.1755,769.878608435098,POI3
